Book Name,Author,Cover Image Path,Genre,Abstract
The Count of Monte Cristo,"
Alexandre Dumas",images/Comic_The Count of Monte Cristo.jpg,Comic,"xxix, 608 pages ; 21 cm"
Henry V The Graphic Novel Original Text Version,"
William Shakespeare",images/Comic_Henry V The Graphic Novel Original Text Vers.jpg,Comic,"Introducing this edition, Gary Taylor shows how Shakespeare shaped his historical material, examines controversial critical interpretations, discusses the play's fluctuating fortunes in performance, and analyses the range and variety of Shakespeare's characterization. The first Folio text is radically rethought, making original use of the First Quarto (1600)."
The Iliad,"
Όμηρος",images/Comic_The Iliad.jpg,Comic,"This long-awaited new edition of Lattimore's Iliad is designed to bring the book into the twenty-first century—while leaving the poem as firmly rooted in ancient Greece as ever. Lattimore's elegant, fluent verses—with their memorably phrased heroic epithets and remarkable fidelity to the Greek—remain unchanged, but classicist Richard Martin has added a wealth of supplementary materials designed to aid new generations of readers. A new introduction sets the poem in the wider context of Greek life, warfare, society, and poetry, while line-by-line notes at the back of the volume offer explanations of unfamiliar terms, information about the Greek gods and heroes, and literary appreciation. A glossary and maps round out the book.

The result is a volume that actively invites readers into Homer's poem, helping them to understand fully the worlds in which he and his heroes lived—and thus enabling them to marvel, as so many have for centuries, at Hektor and Ajax, Paris and Helen, and the devastating rage of Achilleus."
Sense & Sensibility,"
Jane Austen",images/Comic_Sense & Sensibility.jpg,Comic,"When Mr. Dashwood dies, he must leave the bulk of his estate to the son by his first marriage, which leaves his second wife and three daughters (Elinor, Marianne, and Margaret) in straitened circumstances. They are taken in by a kindly cousin, but their lack of fortune affects the marriageability of both practical Elinor and romantic Marianne. When Elinor forms an attachment for the wealthy Edward Ferrars, his family disapproves and separates them. And though Mrs. Jennings tries to match the worthy (and rich) Colonel Brandon to her, Marianne finds the dashing and fiery Willoughby more to her taste. Both relationships are sorely tried. But this is a romance, and through the hardships and heartbreak, true love and a happy ending will find their way for both the sister who is all sense and the one who is all sensibility. - Publisher."
The Odyssey,"
Όμηρος",images/Comic_The Odyssey.jpg,Comic,"The Odyssey (/ˈɒdəsi/; Greek: Ὀδύσσεια, Odýsseia) is one of two major ancient Greek epic poems attributed to Homer. It is, in part, a sequel to the Iliad, the other work ascribed to Homer. The poem is fundamental to the modern Western canon, and is the second oldest extant work of Western literature, the Iliad being the oldest. Scholars believe it was composed near the end of the 8th century BC, somewhere in Ionia, the Greek coastal region of Anatolia. -Wikipedia"
Alice in Wonderland,"
Lewis Carroll",images/Comic_Alice in Wonderland.jpg,Comic,"Alice's Adventures in Wonderland (commonly Alice in Wonderland) is an 1865 English children's novel by Lewis Carroll. A young girl named Alice falls through a rabbit hole into a fantasy world of anthropomorphic creatures. It is seen as an example of the literary nonsense genre.

One of the best-known works of Victorian literature, its narrative, structure, characters and imagery have had huge influence on popular culture and literature, especially in the fantasy genre."
"Buenos días, tristeza","
Françoise Sagan","images/Comic_Buenos días, tristeza.jpg",Comic,"The literary sensation of Paris in 1954 was""Bonjour Tristesse,""a novel written by an eighteen year, old girl. By 1955 in translation it was offered to American readers. Some found it shocking but here was a talent extraordinary for its maturity of style and its adult perceptiveness of human character."
"The history of Tom Jones, a foundling, By Henry Fielding,comic novel: The History of Tom Jones, a Foundling, often known simply as Tom ... playwright and novelist Henry Fielding.","
Henry Fielding","images/Comic_The history of Tom Jones, a foundling, By He.jpg",Comic,"The foundling Tom Jones is found on the property of a benevolent, wealthy landowner. Tom grows up to be a vigorous, kind-hearted young man, whose love of his neighbor's well-born daughter brings class friction to the fore. The presence of prostitution and promiscuity in Tom Jones caused a sensation at the time it was published, as such themes were uncommon. It is divided into 18 shorter books, and is considered one of the first English-language novels."
Mort Big Comic,"
Terry Pratchett",images/Comic_Mort Big Comic.jpg,Comic,Death takes on an apprentice who's an individual thinker.
Nicholas Nickleby,"
Charles Dickens

, 
David Foulds

, 
Anne De Graaf

, 
Chris Rice

, 
Gustav Schrotter

, 
Colin Mayne

, 
Mr Philip Gooden

, 
Pipi Sposito

, 
P. Lorain

, and 7 others",images/Comic_Nicholas Nickleby.jpg,Comic,"Nicholas Nickleby is left responsible for his mother and sister when his father dies. The novel follows his attempt to succeed in supporting them, despite his uncle Ralph's antagonistic lack of belief in him. It is one of Dickens' early comic novels."
The rape of the lock: an heroi-comical poem,"
Alexander Pope",images/Comic_The rape of the lock: an heroi-comical poem.jpg,Comic,"A satiric poem about Belinda and the evil Baron who wants to steal a lock of her hair, it is a commentary on the battle of the sexes and the contemporary social world of high society."
Dragonflight,"
Anne McCaffrey",images/Comic_Dragonflight.jpg,Comic,"HOW CAN ONE GIRL SAVE AN ENTIRE WORLD?To the nobles who live in Benden Weyr, Lessa is nothing but a ragged kitchen girl. For most of her life she has survived by serving those who betrayed her father and took over his lands. Now the time has come for Lessa to shed her disguise--and take back her stolen birthright. But everything changes when she meets a queen dragon. The bond they share will be deep and last forever. It will protect them when, for the first time in centuries, Lessa's world is threatened by Thread, an evil substance that falls like rain and destroys everything it touches. Dragons and their Riders once protected the planet from Thread, but there are very few of them left these days. Now brave Lessa must risk her life, and the life of her beloved dragon, to save her beautiful world. . . .From the Paperback edition."
Nada,"
Carmen Laforet",images/Comic_Nada.jpg,Comic,"Nadaes la primera novela de la escritora barcelonesa Carmen Laforet y una de las obras literarias más importantes de la España del siglo XX. Se trata de una obra existencialista que representa el estancamiento y la pobreza que se vivieron en la posguerra española, durante los primeros años del franquismo. Dotada de un estilo literario que supuso una renovación en la prosa de la época,Nadarefleja también la lenta desaparición de la pequeña burguesía tras la Guerra Civil.

La protagonista de la novela es una joven huérfana de padres, llamada Andrea, que recién terminada la Guerra Civil Española se traslada a la ciudad de Barcelona para estudiar y empezar una nueva vida. Cuando Andrea llega a casa de su abuela, de donde solo tiene recuerdos de su infancia, sus ilusiones se ven rotas. (Wikipedia)

""Loosely based on the author's own life,Nadais the story of an orphaned young woman who leaves her small town to attend university in war-ravaged Barcelona."" ""Residing amid genteel poverty in a mysterious house on Calle de Aribau, young Andrea falls in with a wealthy band of schoolmates who provide a rich counterpoint to the squalor of her home life. As experience overtakes innocence, Andrea gradually learns the disquieting truth about the people she shares her life with: her overbearing and superstitious aunt Angustias; her nihilistic yet artistically gifted uncle Roman and his violent brother Juan; and Juan's disturbingly beautiful wife, Gloria, who secretly supports the clan with her gambling. From existential crisis to a growing maturity and resolve, Andrea's passionate inner journey leaves her wiser, stronger, and filled with hope for the future.""--BOOK JACKET"
Understanding Comics,"
Scott McCloud",images/Comic_Understanding Comics.jpg,Comic,"Praised throughout the cartoon industry by such luminaries as Art Spiegelman, Matt Groening, and Will Eisner, Scott McCloud's Understanding Comics is a seminal examination of comics art: its rich history, surprising technical components, and major cultural significance. Explore the secret world between the panels, through the lines, and within the hidden symbols of a powerful but misunderstood art form."
Stardust: Being a romance within the realms of faerie,"
Neil Gaiman",images/Comic_Stardust: Being a romance within the realms .jpg,Comic,"E-book extra: Neil Gaiman's ""Writing and the Imagination.""In the tranquil fields and meadows of long-ago England, there is a small hamlet that has stood on a jut of granite for 600 years. Just to the east stands a high stone wall, for which the village is named. Here, in the hamlet of Wall, young Tristran Thorn has lost his heart to the hauntingly beautiful Victoria Forester. And here, one crisp October eve, Tristran makes his love a promise -- an impetuous vow that will send him through the only breach in the wall, across the pasture ... and into the most exhilarating adventure of his life."
Wachen. Wachen. Ein Scheibenwelt- Comic.,"
Terry Pratchett",images/Comic_Wachen. Wachen. Ein Scheibenwelt- Comic..jpg,Comic,"Here there be dragons ... and the denizens of Ankh-Morpork wish one huge firebreather would return from whence it came. Long believed extinct, a superb specimen of draco nobilis (""noble dragon"" for those who don't understand italics) has appeared in Discworld's greatest city. Not only does this unwelcome visitor have a nasty habit of charbroiling everything in its path, in rather short order it is crowned King (it is a noble dragon, after all ...)."
V for Vendetta,"
Alan Moore

, 
David Lloyd

, and 
Lloyd, David",images/Comic_V for Vendetta.jpg,Comic,"A seminal graphic novel that defined sophisticated storytelling, Alan Moore's best-selling V For Vendetta is a terrifying portrait of totalitarianism and resistance, superbly illustrated by artist David Lloyd. The graphic novel that inspired the hit movie V For Vendetta is a powerful story about loss of freedom and individuality.Set in a futuristic totalitarian England, a country without political freedom, personal freedom and precious little faith in anything,a mysterious man in a white porcelain mask fights political oppressors through terrorism and seemingly absurd acts. It's a gripping tale of the blurred lines between ideological good and evil. - Publisher."
Moomin: the complete Tove Jansson comic strip.,"
Tove Jansson",images/Comic_Moomin: the complete Tove Jansson comic stri.jpg,Comic,"The author's comic strip is published for the first time in North America in the first volume of a proposed multi-volume series designed to reprint the entire strip of the magical world of the author's creation, the Moomins."
No Longer Human Complete Edition,"
Osamu Dazai

, 
Usamaru Furuya

, 
Jacopo Panedolce

, 
Jacopo Pandolce

, 
David Boyd

, and 
Chika Ito",images/Comic_No Longer Human Complete Edition.jpg,Comic,"Osamu Dazai's No Longer Human, this leading postwar Japanese writer's second novel, tells the poignant and fascinating story of a young man who is caught between the breakup of the traditions of a northern Japanese aristocratic family and the impact of Western ideas. In consequence, he feels himself ""disqualified from being human"" (a literal translation of the Japanese title). Donald Keene, who translated this and Dazai's first novel, The Setting Sun, has said of the author's work: ""His world . . . suggests Chekhov or possibly postwar France, . . . but there is a Japanese sensibility in the choice and presentation of the material. A Dazai novel is at once immediately intelligible in Western terms and quite unlike any Western book."" His writing is in some ways reminiscent of Rimbaud, while he himself has often been called a forerunner of Yukio Mishima."
Laughter: an essay on the meaning of the comic,"
Henri Bergson

, 
Cloudesley Brereton

, 
Fred Rothwell

, 
Cloudesley Shovell Henry 1863 Brereton

, 
Fred [From Old Catalog] Joint Rothwell

, 
David Soler García

, 
Rafael Blanco

, 
Éditions CdBF

, 
Cloudesley Brereton and Fred Rothwell

, and 1 other",images/Comic_Laughter: an essay on the meaning of the com.jpg,Comic,"En este ensayo Henri Bergson analiza las diversas cosas que provocan la risa con el fin de determinar los elementos humorísticos que nos hacen reí. Bergson describe la risa como un ser vivo que tiene un objetivo en gran parte social.

Henri Bergson (1859-1941) fue el primer gran filósofo del siglo XX. Su originalísima obra, a menudo situada entre el análisis psicológico, la sociología, la filosofía y las ciencias naturales, sirvió para superar el positivismo y abrir al nuevo siglo muchas de las vías en adelante tan transitadas. Una ocasión idónea para probar la superioridad de esta nueva filosofía fue aplicarla al entonces popular problema de la comicidad, misterio «que se yergue en impertinente desafío a la especulación filosófica». Escrito en el estilo que le valdría el Premio Nobel de Literatura -entretenido pero de gran profundidad, extremadamente claro y nada abstruso, sin pretensiones pero muy lírico por momentos-, el texto deLa risa"" fue aclamado y se instituyó como gran matriz cultural del primer tercio del siglo pasado."
Salammbo,"
Gustave Flaubert",images/Comic_Salammbo.jpg,Comic,"Salammbô (1862) is a historical novel by Gustave Flaubert.[1] It is set in Carthage during the 3rd century BC,[1] immediately before and during the Mercenary Revolt which took place shortly after the First Punic War.

After the First Punic War, Carthage is unable to fulfil promises made to its army of mercenaries, and finds itself under attack. The fictional title character, a priestess and the daughter of Hamilcar Barca, an aristocratic Carthaginian general, is the object of the obsessive lust of Matho, a leader of the mercenaries. With the help of the scheming freed slave, Spendius, Matho steals the sacred veil of Carthage, the Zaïmph, prompting Salammbô to enter the mercenaries' camp in an attempt to steal it back."
Last Unicorn: The Deluxe Edition,"
Peter S. Beagle",images/Comic_Last Unicorn: The Deluxe Edition.jpg,Comic,"The unicorn lived in a lilac wood, and she lived all alone…

…so she ventured out from the safety of the enchanted forest on a quest for others of her kind. Joined along the way by the bumbling magician Schmendrick and the indomitable Molly Grue, the unicorn learns all about the joys and sorrows of life and love before meeting her destiny in the castle of a despondent monarch—and confronting the creature that would drive her kind to extinction....

InThe Last Unicorn, renowned and beloved novelist Peter S. Beagle spins a poignant tale of love, loss, and wonder that has resonated with millions of readers around the world."
"Smoke and Mirrors: Screenplays, Teleplays, Stage Plays, Comic Scripts & Treatments","
Neil Gaiman

, 
Richard Chizmar

, 
William Peter Blatty

, 
Kealan Patrick Burke

, 
Brian Keene

, 
Joe Hill

, 
Joe R. Lansdale

, and 
Ray Garton","images/Comic_Smoke and Mirrors: Screenplays, Teleplays, S.jpg",Comic,"""En las manos maestras de Neil Gaiman, la magia es mucho más que un mero juego de engaños. La destreza y el poder de invención de este gran fabulador transforman el entorno cotidiano en un mundo hechizado por sucesos sombríos y extraños, en el que una anciana puede comprar el Santo Grial en una tienda de segunda mano, unos asesinos se anuncian en los clasificados de un periódico bajo la rúbrica ±CONTROL DE PLAGAS¬, o un muchacho asustado debe negociar con un trol malcarado y mezquino que vive bajo un puente ferroviario. Esta recopilación de treinta relatos, poemas narrativos y piezas breves e inclasificables ofrece múltiples y variadas posibilidades para que el lector explore una realidad transformada, astutamente velada por el humo y las sombras, a la vez que tangible y afilada. Todo parece posible en el universo de Gaiman, el gran maestro prestidigitador que despierta los sentidos, cautiva los sueños y mantiene en vilo nuestra mente.""--"
Ultimate Spider-Man.,"
Brian Michael Bendis

, 
Mark Bagley

, 
Marvel Comics

, 
Trevor Hairsine

, 
Joe Quesada

, 
Andy Kubert

, 
Danny Miki

, and 
Stuart Immonen",images/Comic_Ultimate Spider-Man..jpg,Comic,The head of Roxxon Oil sics Silver Sable on Spider-Man with orders to find out why he's targeting Roxxon in his patrols and Ms. Sable is free to handle the operation as violently as she pleases.
Star Wars: Heredero del Imperio,"
Timothy Zahn",images/Comic_Star Wars: Heredero del Imperio.jpg,Comic,"It's five years after Return of the Jedi: the Rebel Alliance has destroyed the Death Star, defeated Darth Vader and the Emperor, and driven out the remnants of the old Imperial Starfleet to a distant corner of the galaxy. Princess Leia and Han Solo are married and expecting Jedi Twins. And Luke Skywalker has become the first in a long-awaited line of Jedi Knights.

But thousand of light-years away, the last of the emperor's warlords has taken command of the shattered Imperial Fleet, readied it for war, and pointed it at the fragile heart of the new Republic. For this dark warrior has made two vital discoveries that could destroy everything the courageous men and women of the Rebel Alliance fought so hard to build. The explosive confrontation that results is a towering epic of action, invention, mystery, and spectacle on a galactic scale--in short, a story worthy of the name Star Wars."
Inu-yasha vol 11: a feudal fairy tale,"
Rumiko Takahashi",images/Comic_Inu-yasha vol 11: a feudal fairy tale.jpg,Comic,"The aftermath of an argument has Kogome stomping back to the present day and Inu-Yasha sulking in the past. Then, Naraku's most enigmatic pawn yet enters the battle--Kagura, a beautiful woman who can control the dead."
Batman: The Dark Knight Returns,"
Frank Miller

, 
David Mazzucchelli

, and 
Lynn Varley",images/Comic_Batman: The Dark Knight Returns.jpg,Comic,"""Together with inker Klaus Janson and colorist Lynn Varley, writer/artist Frank Miller completely reinvents the legend of Batman in his saga of a near-future Gotham City gone to rot, ten years after the Dark Knight's retirement. This masterpiece of modern comics storytelling, BATMAN: THE DARK KNIGHT RETURNS, brings to vivid life a dark world and an even darker man. The Dark Knight returns in a blaze of fury, taking on a whole new generation of criminals and matching their level of violence. He is soon joined by a new Robin--a girl named Carrie Kelley, who proves to be just as invaluable as her predecessors. But can Batman and Robin deal with the threat posed by their deadliest enemies, after years of incarceration have made them into perfect psychopaths? And more important, can anyone survive the coming fallout from an undeclared war between the superpowers -- or the clash of what were once the world's greatest heroes? Celebrate thirty years of one of the most influential stories ever told in the comics medium with the undisputed classic BATMAN: THE DARK KNIGHT RETURNS, now with a new cover and introduction""--"
Watchmen,"
Alan Moore

, 
Dave Gibbons

, and 
John Higgins",images/Comic_Watchmen.jpg,Comic,"""This book examines each of the series' twelve issues in unprecedented detail, moving page by page and panel by panel to reveal the hidden foundations of this milestone in modern storytelling. Edited with notes by Leslie S. Klinger, this new edition draws upon critical and scholastic commentary, in-depth interviews with Dave Gibbons, and previously unseen original source material. Klinger provides the reader with a unique and comprehensive view of Watchmen as both a singular artistic achievement and a transformative event in the history of comics as a medium. Set in a world in which history has been forever altered by the existence of superheroes, Alan Moore and Dave Gibbons' monumental graphic novel Watchmen is one of the most influential comic book series of all time. Following two generations of masked crime-fighters from the end of World War II to the height of the Cold War, this compelling tale unfolds from a simple murder mystery into an epic saga of power, corruption and the ultimate meaning of humanity. More than 30 years after it was first published, Moore and Gibbons' masterpiece continues to inspire and entertain readers around the world. Named one of Time magazine's 100 best English-language novels of the 20th century, Watchmen has won countless critical accolades and honors, including the Eisner Award and the Hugo Award""--"
Elric of Melniboné,"
Michael Moorcock",images/Comic_Elric of Melniboné.jpg,Comic,"Elric of Melnibonéis a 1972 fantasy novel byMichael Moorcock. It is the first original full-length novel to featureElric, the last emperor of the stagnating island civilisation of Melniboné who wields the cursed, soul-drinking swordStormbringer."
Bouvard and Pecuchet: A Tragi Comic Novel of Bourgeois Life,"
Gustave Flaubert",images/Comic_Bouvard and Pecuchet: A Tragi Comic Novel of.jpg,Comic,"Comme il faisait une chaleur de 33 degres, le boulevard Bourdon se trouvait absolument desert. Plus bas le canal Saint-Martin, ferme par les deux ecluses etalait en ligne droite son eau couleur d'encre. Il y avait au milieu, un bateau plein de bois, et sur la berge deux rangs de barriques. Au dela du canal, entre les maisons que separent des chantiers le grand ciel pur se decoupait en plaques d'outremer, et sous la reverberation du soleil, les facades blanches, les toits d'ardoises, les quais de granit eblouissaient. Une rumeur confuse montait du loin dans l'atmosphere tiede ; et tout semblait engourdi par le desoeuvrement du dimanche et la tristesse des jours d'ete. Deux hommes parurent. L'un venait de la Bastille, l'autre du Jardin des Plantes. Le plus grand, vetu de toile, marchait le chapeau en arriere, le gilet deboutonne et sa cravate a la main. Le plus petit, dont le corps disparaissait dans une redingote marron, baissait la tete sous une casquette a visiere pointue."
"Esperando la ola gigante: Cómic Tea Stilton, 4","
Elisabetta Dami","images/Comic_Esperando la ola gigante: Cómic Tea Stilton,.jpg",Comic,"""The Thea Sisters are five fun, lively students at Mouseford Academy on Whale Island, who want to be real, live journalists, just like their hero, Thea Stilton. Between classes, friendships, crushes, and some bizarre mysteries to solve, they find life to be a never-ending adventure! Everyone is talking about Windy Island's new surf center, even Nicky's hero, Australian surf champion Gary Moon! The artificial reef is supposed to create perfect waves. But the Thea Sisters have discovered a dangerous secret: even a surf champion can't face these giant waves! it's up to them to break the story before another reef is built off the shore of their beloved Donkey Beach"" --

A new, exclusive surfing club has just opened on Windy Island. Residents know that the island is famous for its sudden storms, but their warnings fall on deaf ears until a giant wave hits. Book #4"
"The Walking Dead, Vol. 1: Days Gone Bye","
Robert Kirkman

 and 
Tony Moore","images/Comic_The Walking Dead, Vol. 1: Days Gone Bye.jpg",Comic,"The world we knew is gone. The world of commerce and frivolous necessity has been replaced by a world of survival and responsibility. An epidemic of apocalyptic proportions has swept the globe, causing the dead to rise and feed on the living. In a matter of months society has crumbled: no government, no grocery stores, no mail delivery, no cable TV. In a world ruled by the dead, the survivors are forced to finally start living."
Tintin i Amerika,"
Hergé",images/Comic_Tintin i Amerika.jpg,Comic,"Après avoir mis à mal un trafic de diamants au Congo, notre valeureux reporter, accompagné de son inséparable chien Milou, se rend cette fois-ci aux Etats-Unis, afin d’enquêter sur les milieux du grand banditisme.

Les choses commencent très fort pour lui : sitôt arrivé à Chicago il est enlevé par un faux taxi. Tintin parvient tant bien que mal à s’échapper du taxi, sans se faire remarquer par son ravisseur. Aidé de deux policemen en moto, il a tôt fait de rattraper celui-ci, qui avoue avoir été payé 500 dollars pour enlever Tintin.

Au moment où il va donner le nom du lieu où il devait conduire notre jeune reporter, le ravisseur est tué d’un coup de boomerang.Le coupable s’enfuit en volant la moto des policemen. Ceux-ci, toujours accompagné de Tintin et de Milou, prennent donc le taxi et le prennent en chasse, jusqu’à l’accident. Dès sa sortie de l’hôpital, Tintin est à nouveau enlevé, et par ni plus ni moins que le célèbre Al Capone, bien décidé à réduire définitivement notre héros au silence…"
A Girl in a Million,"
Kako Itō

 and 
Betty Neels",images/Comic_A Girl in a Million.jpg,Comic,"""A student nurse catches the love bug for an attractive doctor, but can a sophisticated guy with a complicated life find the extraordinary in an ordinary girl like her?""--P. [4] of cover."
KAZU KIBUISHI - AMULET LA MALE,"
Kazu Kibuishi",images/Comic_KAZU KIBUISHI - AMULET LA MALE.jpg,Comic,"Graphic novel star Kazu Kibuishi returns with his mysterious world full of new allies . . . and old enemies!Emily and Navin's mother is still in a coma from the arachnopod's poison, and there's only one place to find help: Kanalis, the bustling, beautiful city of waterfalls. But when Em, her brother, and Miskit and the rest of the robotic crew aboard the walking house reach the city, they quickly realize that seeking help is looking for trouble, dangerous trouble."
The Sandman: preludes & nocturnes : volume I,"
Neil Gaiman

 and 
Sam Kieth",images/Comic_The Sandman: preludes & nocturnes : volume I.jpg,Comic,"Preludes and Nocturnes collects the first eight issues of The Sandman comic by Neil Gaiman published by DC Vertigo. The series centers on Morpheus (Dream of the Endless). Dream is imprisoned for decades by an occultist seeking immortality. Upon escaping, he must reclaim his objects of power while still in a weakened state, confronting an addict to his dream powder, the legions of Hell, and an all-powerful madman (Doctor Destiny) in the process."
One Piece 1,"
Eiichiro Oda",images/Comic_One Piece 1.jpg,Comic,
Star Wars Thrawn,"
Timothy Zahn

 and 
Albert Agut Iglesias",images/Comic_Star Wars Thrawn.jpg,Comic,"""I have sensed a disturbance in the Force.""  Ominous words under any circumstances, but all the more so when uttered by Emperor Palpatine. On Batuu, at the edges of the Unknown Regions, a threat to the Empire is taking root--its existence little more than a glimmer, its consequences as yet unknowable. But it is troubling enough to the Imperial leader to warrant investigation by his most powerful agents: ruthless enforcer Lord Darth Vader and brilliant strategist Grand Admiral Thrawn. Fierce rivals for the emperor's favor, and outspoken adversaries on Imperial affairs--including the Death Star project--the formidable pair seem unlikely partners for such a crucial mission. But the Emperor knows it's not the first time Vader and Thrawn have joined forces. And there's more behind his royal command than either man suspects. In what seems like a lifetime ago, General Anakin Skywalker of the Galactic Republic, and Commander Mitth'raw'nuruodo, officer of the Chiss Ascendancy, crossed paths for the first time. One on a desperate personal quest, the other with motives unknown . . . and undisclosed. But facing a gauntlet of dangers on a far-flung world, they forged an uneasy alliance--neither remotely aware of what their futures held in store. Now, thrust together once more, they find themselves bound again for the planet where they once fought side by side. There they will be doubly challenged--by a test of their allegiance to the Empire . . . and an enemy that threatens even their combined might."
Yotsuba&! 1,"
あずまきよひこ",images/Comic_Yotsuba&! 1.jpg,Comic,"Yotsuba è una bambina curiosa, socievole e un po' stramba: si avvicina a ogni cosa nuova con un entusiasmo irresistibile che finisce per travolgere chiunque le stia attorno! La prima novità con cui la vedremo aver a che fare è un cambiamento non da poco: il trasloco in una nuova città! Insieme al suo papà, Yotsuba prende possesso della nuova casa e inizia a farsi conoscere nel vicinato, creando situazioni buffe una dietro l'altra! Eccola dunque alle prese con l'altalena, la televisione, la spesa, un acquazzone, una grande caccia alle cicale... e persino con il surriscaldamento globale."
Amigas de verdad nº 01,"
Shannon Hale",images/Comic_Amigas de verdad nº 01.jpg,Comic,"Newbery Honor author Shannon Hale and New York Times bestselling illustrator LeUyen Pham join forces in this graphic memoir about how hard it is to find your real friends―and why it's worth the journey.

Shannon and Adrienne have been best friends ever since they were little. But one day, Adrienne starts hanging out with Jen, the most popular girl in class and the leader of a circle of friends called The Group. Everyone in The Group wants to be Jen's #1, and some girls would do anything to stay on top . . . even if it means bullying others.

Now every day is like a roller coaster for Shannon. Will she and Adrienne stay friends? Can she stand up for herself? And is she in The Group―or out?"
The sandman: season of mists,"
Neil Gaiman

, 
Marc Hempel

, and 
Michael Zulli",images/Comic_The sandman: season of mists.jpg,Comic,"In-depth, informative and entertaining,The Annotated Sandmanis a fascinating look at the celebrated comic book series written by New York Times best-selling author Neil Gaiman.

The Sandmanis one of the most acclaimed titles in the history of comics. A rich blend of modern myth and dark fantasy in which contemporary fiction, historical drama and legend are seamlessly interwoven, The Sandman is also widely considered to be one of the most original and artistically ambitious comic books of the modern age. By the time it concluded in 1996, it had made significant contributions to the artistic maturity of comics as a whole and had become a pop culture phenomenon in its own right. Critics and readers alike agreed: The Sandman proved that comic books were not simply a genre but were instead a rich and unique medium combining both art and literature.

Now, DC Comics is proud to present this literary classic in an all-new Annotated Edition format. Edited with notes by Leslie S. Klinger,The Annotated Sandmanis a page-by-page, panel-by-panel journey through every installment ofThe Sandman. Using the original comic book scripts and hours of conversations with Gaiman himself, Klinger presents a wealth of commentary, references, and hidden meanings that deepen and enrich our understanding of the acclaimed series. This fourth volume, comprising issues #57-75, completes the title’s original run and features an all-new set of appendices, including a detailed chronology of the events of The Sandman and an exhaustive index of all of its unforgettable characters."
Flatland: A Romance of Many Dimensions,"
Edwin Abbott Abbott",images/Romance_Flatland: A Romance of Many Dimensions.jpg,Romance,"This is a satirical novel written by Edwin A. Abbott, first published in 1884. Abbott uses a two-dimensional world, with himself as the protagonist, known simply as ""A Square"", to deride the Victorian aristocracy and its hierarchies. But the book has retained its value throughout the years for its unique portrayal of a two-dimensional world, and how a Sphere introduces the Square to the incomprehensible possibility of a third dimension. Once the square fully understands the third dimension, he suggests to the Sphere that even a fourth, fifth, or sixth dimension could exist. But the Sphere sends the square back to his two-dimensional world, where he cannot convince anyone of the existence of a three dimensional world."
Phantastes: A Faerie Romance,"
George MacDonald",images/Romance_Phantastes: A Faerie Romance.jpg,Romance,"One of George MacDonald's most important works, Phantastes is the story of a young man named Anotos and his long dreamlike journey in Fairy Land. It is the fairy tale of deep spiritual insight as Anotos makes his way through moments of uncertainty and peril and mistakes that can have irreversible consequences. This is also his spiritual quest that is destined to end with the supreme surrender of the self. When he finally experiences the hard-won surrender, a wave of joy overwhelms him. His intense personal introspection is honest as he is offered the full range of symbolic choices--great beauty, horrifying ugliness, irritating goblins, nurturing spirits. Each confrontation in Fairy Land allows Anotos to learn many necessary lessons. As he continues on the journey, many shadowy beings threaten his spiritual well-being and compel him to sing. The songs are irresistible to a beautiful White Lady who is freed from inside a statue by the music, and Anotos remains captivated by her for a long time. He sees the world more objectively; his trek invites a natural descent into feelings of pride and egotism. But his losses and sorrows coalesce themselves into things of grace, and these experiences help his spiritual growth.     Please Note:  This book has been reformatted to be easy to read in true text, not scanned images that can sometimes be difficult to decipher.  The Microsoft eBook has a contents page linked to the chapter headings for easy navigation. The Adobe eBook has bookmarks at chapter headings and is printable up to two full copies per year.  Both versions are text searchable."
Lilith: A Romance,"
George MacDonald",images/Romance_Lilith: A Romance.jpg,Romance,"Lilith, written by the father of fantasy literature, George MacDonald, was first published in 1895. Its importance was recognized in its later revival in paperback by Ballantine Books as the fifth volume of the celebrated Ballantine Adult Fantasy series in September, 1969. Lilith is considered among the darkest of MacDonald's works, and among the most profound. It is a story concerning the nature of life, death and salvation. Many believe MacDonald is arguing for Christian universalism, or the idea that all will eventually be saved."
Pygmalion: a romance in five ats,"
George Bernard Shaw",images/Romance_Pygmalion: a romance in five ats.jpg,Romance,"Pygmalion is a play by George Bernard Shaw, named after a Greek mythological figure. It was first presented on stage to the public in 1913.

Also contained in:"
The Blithedale Romance,"
Nathaniel Hawthorne",images/Romance_The Blithedale Romance.jpg,Romance,"A superb depiction of a utopian community that cannot survive the individual passions of its members. In language that is suggestive and often erotic, Nathaniel Hawthorne tells a tale of failed possibilities and multiple personal betrayals as he explores the contrasts between what his characters espouse and what they actually experience in an 'ideal' community. A theme of unrealized sexual possibilities serves as a counterpoint to the other failures at Blithedale: class and sex distinctions are not eradicated, and communal work on the farm proves personally unrewarding and economically disastrous. Based in part on Hawthorne's own experiences at Brook Farm, an experimental socialist community, The Blithedale Romance is especially timely in light of renewed interest in self-sufficient and other cooperative societies."
